	race	current_location	sex	birthdate	blood_group	ssn	job	name	residence
1506	White	(Decimal('-54.3105005'), Decimal('-2.694271'))	M	1915/11/13	A-	216-98-6378	Accounting technician	Thomas Miller	"566 Jensen Pines
New James, NC 19589"
1507	Black	(Decimal('17.5164985'), Decimal('-177.184174'))	M	2005/12/09	A+	042-02-1317	Bonds trader	Jerry Holden	"96582 Edwards Underpass
Amybury, CT 23174"
1508	White	(Decimal('-8.990912'), Decimal('-98.441538'))	M	1954/06/06	O+	615-97-3171	Seismic interpreter	Kenneth Salinas	"24032 Riley Plaza
North Timothyland, IN 54932"
1509	White	(Decimal('-6.3044255'), Decimal('-161.471982'))	F	1994-08-12	AB-	674-16-9298	Programme researcher, broadcasting/film/video	Brooke Jacobs	"749 Nichole Ways Apt. 863
Beverlyton, NV 71488"
1510	White	(Decimal('56.797002'), Decimal('78.123641'))	F	1939-09-15	AB-	669-21-2504	Actor	Shelby Carr	"1691 Derrick Motorway Suite 171
Port Alexis, RI 38868"
1511	White	(Decimal('59.473978'), Decimal('-43.172671'))	F	2003/07/12	B-	151-09-3949	Education administrator	Michelle Powell	"5456 Gross Terrace Apt. 734
Donaldhaven, NV 24548"
1512	Asian	(Decimal('-71.226833'), Decimal('58.699315'))	M	1930-12-11	AB-	132-35-2992	Hydrographic surveyor	Jonathan Bean	"324 Chapman Parkway Apt. 896
South Robin, NJ 11302"
1513	Indian	(Decimal('-75.7494485'), Decimal('80.255027'))	F	10/23/1912, 00:00:00	B-	648-18-0034	Accountant, chartered public finance	Brooke Moyer	"025 Donna Trace
Andreaview, SD 92576"
1514	Black	(Decimal('68.8963995'), Decimal('165.832223'))	M	31 Mar 1948	AB-	093-09-7723	Scientist, research (life sciences)	Anthony Bryant	"91217 Carolyn Green
Melissaland, MD 15619"
1515	Black	(Decimal('4.2235415'), Decimal('-13.520212'))	F	08 Apr 1961	O+	059-73-3625	Landscape architect	Brittney Chambers	"38392 Miles Stravenue
Silvafurt, KY 60154"
1516	White	(Decimal('52.4490255'), Decimal('83.703835'))	F	06/16/2014, 00:00:00	A-	286-47-3757	Senior tax professional/tax inspector	Christine Guerrero	"040 Ritter Highway
Reynoldsville, OK 62416"
1517	Black	(Decimal('-89.349848'), Decimal('2.657622'))	F	10/27/1908, 00:00:00	A+	735-61-4496	Psychologist, clinical	Stephanie Wilson	"49725 Hahn Bypass Suite 898
East David, NM 72957"
1518	Black	(Decimal('25.069235'), Decimal('163.545110'))	F	2021/06/09	AB+	305-34-5497	Communications engineer	Lindsey Mcintosh	"282 Harris Greens
Virginiaview, IA 83956"
1519	Black	(Decimal('-35.571760'), Decimal('32.354729'))	M	2011/01/27	B+	324-28-5625	Visual merchandiser	Ryan Williams	"027 Laura Lights Suite 497
Lake Danielmouth, NH 98514"
1520	White	(Decimal('-35.6732035'), Decimal('-117.187261'))	F	07/15/1994, 00:00:00	AB+	223-25-1052	Careers information officer	Maria Johnson	"4347 Morrison Dale Suite 210
Martintown, NC 28519"
1521	White	(Decimal('79.105154'), Decimal('94.072363'))	M	1998/10/16	O-	095-28-6554	Cartographer	Jesus Walsh	"348 Graham Course
Port Robertmouth, FL 46841"
1522	White	(Decimal('-50.4920115'), Decimal('75.281401'))	F	2020-01-03	A-	092-66-8874	Programmer, multimedia	Mary Richardson MD	"032 West Fords Suite 862
Meghanberg, VA 37681"
1523	White	(Decimal('-11.1772845'), Decimal('86.599487'))	M	25 Dec 1987	AB+	459-17-2991	Community arts worker	Marcus Potts	"518 Michael Coves
East Alanshire, NM 72020"
1524	White	(Decimal('43.7297725'), Decimal('-104.207753'))	M	09/10/1945, 00:00:00	A+	724-86-8466	Transport planner	Randy Coleman	"01011 Lee Garden Apt. 729
Chapmanshire, KY 25410"
1525	White	(Decimal('45.995940'), Decimal('135.598224'))	M	2017/10/31	AB+	655-46-0646	Chiropodist	Phillip Pope	"1322 Mueller Knolls
Andreabury, AR 00965"
1526	White	(Decimal('-77.9203105'), Decimal('0.780925'))	F	1981-10-29	B+	178-70-8616	Armed forces operational officer	Karen Long	"562 Jackson Station Apt. 529
East Dianeborough, RI 95069"
1527	Black	(Decimal('31.917671'), Decimal('35.861943'))	F	1986-05-28	O-	365-05-4960	Dramatherapist	Jean Gibson	"085 Michael Meadow
Cynthiamouth, OR 98311"
1528	White	(Decimal('-29.415467'), Decimal('-145.602708'))	M	10 Dec 2009	O+	516-71-7635	Scientist, marine	Aaron Forbes	"661 Aguilar Bridge
Omarbury, VT 03097"
1529	Hawaiian	(Decimal('-66.654602'), Decimal('175.520182'))	M	20 Aug 1938	A-	202-47-9588	Financial risk analyst	Dr. Mark Davis	"971 Tracy Mission
Christopherborough, NY 31926"
1530	Black	(Decimal('-19.3862585'), Decimal('-167.163359'))	M	20 May 1979	O-	306-86-1165	Event organiser	John Singh	"1415 Rachel Unions Suite 344
Kirktown, LA 41369"
1531	White	(Decimal('1.5920065'), Decimal('-43.780902'))	F	04/05/1928, 00:00:00	B-	735-31-5004	Pathologist	Kelly Morris	"975 Hopkins Burg Apt. 036
New Jonathan, OK 40271"
1532	White	(Decimal('39.590203'), Decimal('-67.899236'))	M	1984/01/20	AB+	708-23-6513	Designer, exhibition/display	John Dominguez	"8789 Misty Stream Suite 589
Lake Robert, WY 77508"
1533	White	(Decimal('13.442645'), Decimal('-145.801777'))	F	1926/07/18	B+	125-67-7755	Geochemist	Dr. Kathryn Clark	"2896 Santiago Creek
Port Michaelbury, AZ 69446"
1534	Black	(Decimal('55.952781'), Decimal('58.057000'))	F	1986/08/28	A+	162-48-0328	Development worker, international aid	Jasmin George	"590 Paul Station
East Thomasborough, TX 46492"
1535	White	(Decimal('-9.643518'), Decimal('16.972959'))	M	06 Jan 2011	A-	028-07-3233	Hydrogeologist	Manuel Adams	"452 Valerie Tunnel
Batesview, TN 58722"
1536	Asian	(Decimal('46.760962'), Decimal('11.227189'))	M	09 Dec 1954	AB+	445-58-8229	Ambulance person	Randall Perkins	"65872 Amanda Pine Suite 261
Mcneilhaven, MI 30260"
1537	Asian	(Decimal('-66.311428'), Decimal('-172.463244'))	M	1942/06/27	A-	775-81-5012	Buyer, industrial	Jacob Nelson	"Unit 1704 Box 6335
DPO AA 19225"
1538	Hawaiian	(Decimal('80.4917175'), Decimal('110.174657'))	F	06 Nov 1971	O+	880-66-1934	Chiropractor	Maria Oliver	"5440 Sara Turnpike Apt. 680
West David, ID 84451"
1539	White	(Decimal('-80.3013135'), Decimal('-77.901643'))	M	1941-06-08	AB-	519-66-4763	Soil scientist	Daniel Lee	"205 Choi Forest
Royview, MS 73855"
1540	Black	(Decimal('-82.3028005'), Decimal('-142.427073'))	M	1994-03-06	O-	596-38-7944	Teacher, adult education	Terry Wise	"883 Williamson Isle Apt. 636
Brandonshire, CO 71992"
1541	Black	(Decimal('58.5659245'), Decimal('-27.716005'))	F	2002/04/14	A+	202-62-4508	Government social research officer	Katrina Hobbs	"48395 Wolf Inlet
Michaelport, NY 11093"
1542	White	(Decimal('87.335678'), Decimal('-20.312111'))	F	09 Sep 1906	AB-	046-50-8441	Air broker	Mary Daniels	"4073 Martinez Plaza Apt. 273
New Kellyberg, MD 18015"
1543	White	(Decimal('13.605325'), Decimal('-161.649904'))	M	1906-02-18	AB-	741-06-9106	Primary school teacher	Ryan Kim	"928 Justin Unions
Robertbury, NJ 22261"
1544	Black	(Decimal('59.4264745'), Decimal('5.936310'))	M	1923/05/25	O-	030-10-8732	Optician, dispensing	Charles Wilson	"6675 Powell Shore
Lopezland, AR 85275"
1545	White	(Decimal('76.363533'), Decimal('-179.924981'))	F	1963-06-18	O-	039-40-4449	Lobbyist	Marisa Greer	"73233 Shawn Crossroad
Matthewview, KY 82417"
1546	Black	(Decimal('87.3759335'), Decimal('-1.849846'))	M	15 Feb 1961	AB+	305-96-2012	Engineer, production	Shawn Sharp	"705 Love Flats
East Brandonton, FL 52340"
1547	Asian	(Decimal('-65.0543835'), Decimal('87.421413'))	M	02/15/1937, 00:00:00	A+	855-53-7514	Hospital pharmacist	Curtis Jones	"344 Flores Mews Apt. 498
North Latoyachester, NM 01044"
1548	Asian	(Decimal('-58.9368975'), Decimal('-41.228625'))	M	23 May 1923	B+	553-56-5619	Nutritional therapist	Richard Dickson	"2619 Steven Trafficway
Davisberg, DC 66868"
1549	Indian	(Decimal('60.6935475'), Decimal('119.480597'))	M	09 Nov 1942	B+	533-07-4489	Tour manager	Eric Cantu	"296 Cathy Extension
Jessicastad, TN 16603"
1550	Black	(Decimal('-1.2743405'), Decimal('123.862207'))	F	1954-05-30	B-	434-59-7420	Engineer, water	Kelly Cole	"8163 Victoria Point
Phamstad, MO 10791"
1551	White	(Decimal('67.2313425'), Decimal('-171.762810'))	F	1908-10-13	A+	844-61-4173	Public relations officer	Shelly Carpenter	"1125 Roberts Junctions
Lake Derek, TN 74145"
1552	White	(Decimal('-81.3168575'), Decimal('20.469925'))	F	2011/08/05	A-	098-57-0336	Geographical information systems officer	Melissa Obrien	"4586 Nguyen Rest
Mccallbury, MD 64247"
1553	Black	(Decimal('-57.1628815'), Decimal('149.103362'))	F	15 Nov 1996	AB-	341-83-7004	Geologist, engineering	Tiffany Mckinney	"991 Webb Land
Johnsonmouth, MN 65018"
1554	White	(Decimal('-82.711741'), Decimal('56.688249'))	M	18 Oct 1951	AB+	735-34-8293	Cabin crew	William Evans	"7745 Ashley Court
Port Andrewmouth, MS 22201"
1555	White	(Decimal('-52.9534395'), Decimal('104.718233'))	F	11/13/1987, 00:00:00	AB+	431-27-4874	Podiatrist	Jamie Moran	"57726 Joseph Hill
East Lindabury, WI 82466"
1556	White	(Decimal('4.0799965'), Decimal('-105.667382'))	M	1966/03/10	A-	300-18-8653	Geophysical data processor	Dan Stafford	"57305 Smith Union Apt. 666
Tylerview, NV 25331"
1557	white	(Decimal('-11.3738005'), Decimal('-1.634177'))	M	06 Aug 1921	A+	346-28-9739	Surveyor, commercial/residential	Joshua Thompson	"732 Martin Island
Millershire, MN 44967"
1558	Black	(Decimal('-79.3468885'), Decimal('15.492553'))	F	1949-11-26	A-	706-88-2742	Editorial assistant	Kelly Rubio	"18587 Arthur Lodge
East Craigchester, PA 41602"
1559	Black	(Decimal('61.6389575'), Decimal('-167.544013'))	F	06/09/1941, 00:00:00	A-	596-28-9031	Biochemist, clinical	Alicia Mendoza	"4404 King Creek Suite 624
Matthewbury, RI 38849"
1560	black	(Decimal('-41.8846495'), Decimal('114.338223'))	M	1908/05/06	O+	580-94-1709	Electronics engineer	Joshua Smith	"7413 Marshall Neck Apt. 931
Huntport, NY 47187"
1561	White	(Decimal('-72.209680'), Decimal('-13.916211'))	M	16 Dec 1908	O-	025-61-8860	Accountant, chartered	Robert Gonzalez	"4946 Watson Crescent
East Jackson, MN 43020"
1562	White	(Decimal('51.304956'), Decimal('-123.506373'))	F	1989-07-02	B+	645-61-2323	Animal nutritionist	Jessica Shepherd	"20004 Lyons Valley Apt. 056
North Christopher, AK 61567"
1563	white	(Decimal('-71.0749525'), Decimal('2.988077'))	M	1991-11-21	AB-	233-76-8799	Research officer, government	Willie Zimmerman	"3438 Ramirez Ramp Suite 875
North Haley, NC 62383"
1564	White	(Decimal('4.838072'), Decimal('-64.054575'))	M	10/13/1974, 00:00:00	A-	368-94-0508	Engineer, chemical	Francisco Arias	"1182 Stephanie Walks
Port Kristy, NV 04711"
1565	Black	(Decimal('-37.408985'), Decimal('154.388280'))	M	1989/11/03	AB-	559-51-7442	Community development worker	Adam Ortega	"72379 Johnson Summit
North Dominicborough, VT 22257"
1566	Asian	(Decimal('87.070206'), Decimal('-76.571009'))	F	31 Oct 1943	O+	017-34-1257	Water engineer	Jennifer Cook	"25154 Jennifer Curve Apt. 854
South Susan, OK 11548"
1567	Asian	(Decimal('10.6014975'), Decimal('-179.405836'))	F	2002-05-11	B+	309-14-2729	Operations geologist	Jasmine Pennington	"128 Wilson Radial Suite 150
West Carlos, OR 60723"
1568	White	(Decimal('-70.557615'), Decimal('-81.970158'))	F	03/20/2013, 00:00:00	AB+	659-67-7395	Product manager	Rachel Harrell	"2146 Cardenas Isle Suite 602
Elizabethview, AR 16001"
1569	Black	(Decimal('13.998188'), Decimal('-50.774463'))	F	2013-07-21	A-	746-89-3746	Animal nutritionist	Shannon Gonzalez	"9265 Alexander Village Apt. 855
New Ashleyshire, PA 61843"
1570	Black	(Decimal('25.316087'), Decimal('-69.929269'))	M	24 Jan 1997	O+	116-96-0769	Audiological scientist	Brian Knight	"5230 Brittany Views Suite 422
South Mariaburgh, FL 32348"
1571	black	(Decimal('64.040932'), Decimal('159.059253'))	F	26 Jun 1981	AB-	138-96-3253	Phytotherapist	Elizabeth Diaz	"993 Navarro Falls
South Beth, TN 21285"
1572	White	(Decimal('-37.208307'), Decimal('-52.130152'))	M	1975/02/17	B-	048-63-5524	Media planner	Adam Hill	"7369 Hall Greens
West Lauraland, NY 05726"
1573	Asian	(Decimal('26.242920'), Decimal('26.900906'))	M	18 Oct 1949	B-	450-63-8776	Actor	Ronald Brooks	"09188 Hawkins Radial Suite 085
Courtneymouth, NE 65549"
1574	White	(Decimal('38.908070'), Decimal('-74.620323'))	M	07/06/2006, 00:00:00	A-	797-25-0125	Conference centre manager	Alexander Gallagher	"301 Richards Shore Apt. 439
East Alexandra, GA 65583"
1575	White	(Decimal('-15.075258'), Decimal('-167.537087'))	M	11/30/1972, 00:00:00	B+	242-85-1951	Theatre manager	John Roberts	"5000 Middleton Highway Apt. 239
Port Mark, NH 76191"
1576	White	(Decimal('25.207913'), Decimal('-71.112572'))	M	1995-02-12	A-	781-88-3231	Designer, blown glass/stained glass	Michael Mendez	"91139 Michael Ridge
Vancestad, VT 66102"
1577	black	(Decimal('-47.811140'), Decimal('109.250599'))	F	09/03/1978, 00:00:00	B+	745-80-7155	Museum/gallery conservator	Sandra Walters	"8290 Sellers Villages Suite 730
Kimshire, WV 95158"
1578	White	(Decimal('88.3272785'), Decimal('160.713796'))	M	09/09/1950, 00:00:00	A-	858-41-4596	Engineer, maintenance (IT)	Bradley Sanchez Jr.	"57732 Jeffrey Island Suite 179
New Heidi, MO 84347"
1579	White	(Decimal('-88.183466'), Decimal('177.300202'))	F	01/20/1963, 00:00:00	O-	279-19-8670	Facilities manager	Amanda Delacruz	"7630 Melissa Fords Apt. 067
West Michael, DE 96689"
1580	White	(Decimal('16.334450'), Decimal('-145.079811'))	M	1991-01-03	O-	689-04-6111	Geochemist	Brandon Romero	"1073 Ashley Ramp
Castilloland, CA 79321"
1581	Asian	(Decimal('-52.040936'), Decimal('-51.293008'))	F	08/16/1935, 00:00:00	B+	211-20-5234	Insurance broker	Charlotte Garcia	"6676 William Skyway
Sharonberg, ME 71590"
1582	White	(Decimal('10.7940055'), Decimal('-176.542147'))	F	1908-04-30	B+	229-32-2062	Forest/woodland manager	Stephanie Adams	"2676 French Center Apt. 700
South Sean, ND 77715"
1583	Indian	(Decimal('-4.695687'), Decimal('104.957078'))	M	1959/10/26	B+	455-32-9405	Restaurant manager, fast food	Elijah Martin	"3551 Harding Lane
Smithview, ND 18289"
1584	Hawaiian	(Decimal('28.2334595'), Decimal('-65.648732'))	M	08 Mar 1985	B-	450-46-8261	Newspaper journalist	Jon Armstrong	"3375 Williams Plain
Nicholsstad, FL 07537"
1585	White	(Decimal('5.745323'), Decimal('132.100035'))	F	25 Jun 1994	AB+	673-45-8785	Claims inspector/assessor	Laura Burke	"341 Michael Meadows
Alisonside, DE 58885"
1586	White	(Decimal('31.1923965'), Decimal('-14.277317'))	M	1907-11-06	A-	513-22-6275	Computer games developer	Michael Gross	"437 Schneider Branch Apt. 166
Aprilmouth, MS 51962"
1587	Asian	(Decimal('-12.3973605'), Decimal('21.226004'))	M	04/05/1908, 00:00:00	A-	724-58-9600	Printmaker	Ian Webb II	"PSC 1236, Box 4738
APO AP 69489"
1588	White	(Decimal('-65.8344785'), Decimal('-10.165338'))	M	19 Jan 2010	B+	409-87-4843	Museum/gallery conservator	James Ramirez	"0582 Michael Alley
Coletown, HI 39005"
1589	White	(Decimal('79.786407'), Decimal('58.830203'))	F	1975/08/08	AB+	421-21-8256	Psychotherapist, child	Melanie James	"3381 Mark Roads Apt. 293
Mclaughlinside, MS 83203"
1590	Hawaiian	(Decimal('-78.854695'), Decimal('-60.904855'))	M	08/21/1941, 00:00:00	A+	705-61-3729	Restaurant manager, fast food	William Weaver	"46867 Turner Land
New Richard, MI 77413"
1591	White	(Decimal('-73.134123'), Decimal('-6.768647'))	M	01/08/1909, 00:00:00	AB+	417-86-7489	Development worker, international aid	Cameron Boone	"20038 Kirby Plains
Williamsmouth, SD 67055"
1592	Black	(Decimal('-14.7183065'), Decimal('110.430674'))	F	1981-10-11	AB-	279-86-1196	Production engineer	Crystal Wolfe	"10522 Williamson Valleys Suite 636
Rodneyfurt, MI 84243"
1593	Black	(Decimal('71.515618'), Decimal('130.472650'))	F	1986/08/20	B+	001-05-2519	Bookseller	Mrs. Natalie Brooks	"9282 Smith Expressway
New Aarontown, ID 63725"
1594	White	(Decimal('3.435285'), Decimal('44.521093'))	M	29 Nov 1936	AB+	207-15-1870	Scientist, research (maths)	James Miranda	"USCGC Baxter
FPO AP 82326"
1595	White	(Decimal('23.7527475'), Decimal('19.799279'))	M	1945-09-02	B+	363-53-5857	Acupuncturist	Larry Macias	"175 Timothy Viaduct Apt. 398
Taraton, SD 57491"
1596	White	(Decimal('49.7547295'), Decimal('-9.113611'))	M	1911/06/29	A-	047-48-8504	Programmer, multimedia	John Chung	"3241 Robert Greens Suite 512
Johnsonfort, RI 17819"
1597	Black	(Decimal('-57.0203975'), Decimal('-41.894748'))	M	07 Aug 1998	AB-	364-85-7159	Clothing/textile technologist	David Anderson MD	"USNV Sandoval
FPO AE 65132"
1598	Black	(Decimal('-40.257715'), Decimal('89.312570'))	F	28 Nov 1930	AB+	856-54-5798	Psychologist, clinical	Megan Ward	"33580 Nathan Highway
Tammyport, OR 75035"
1599	White	(Decimal('-76.2870365'), Decimal('4.852755'))	M	2006-10-11	AB+	525-48-9376	Equities trader	Frank Santos	"7519 Stephen Run Apt. 485
North Marc, DE 26645"
1600	Black	(Decimal('-63.031988'), Decimal('158.075016'))	F	1992-12-26	AB+	776-31-6656	Phytotherapist	Stephanie Green	"5915 Martin Heights
Bushfurt, MO 42389"
1601	Asian	(Decimal('-70.319717'), Decimal('144.186096'))	F	2008-06-15	B-	162-92-5802	Teacher, special educational needs	Janice Carpenter	"76359 Bonnie Run Apt. 458
Guzmanberg, KY 12781"
1602	Hawaiian	(Decimal('28.2448405'), Decimal('-78.403038'))	M	1914-01-26	B+	557-36-8192	Pharmacologist	Andrew Myers	"97971 Baker Brook Apt. 901
Christopherport, CO 57283"
1603	White	(Decimal('23.7378835'), Decimal('-72.268366'))	F	1962-02-02	A+	131-84-6220	Engineer, maintenance	Nancy Jacobs	"Unit 8650 Box 0743
DPO AE 09028"
1604	Hawaiian	(Decimal('-30.7137805'), Decimal('26.111240'))	F	2011/07/01	AB+	206-27-0256	Television/film/video producer	Rebecca Case	"823 Derek Centers
Turnerton, UT 43683"
1605	Black	(Decimal('76.362587'), Decimal('118.008231'))	F	12 Sep 1975	AB-	814-99-6742	Warehouse manager	Brianna Robles	"9490 Smith Valleys
Donaldton, SC 57080"
1606	White	(Decimal('-3.118448'), Decimal('-29.004481'))	M	1957/03/30	AB+	638-08-8152	Horticultural therapist	John Phillips	"01459 Raymond Harbors
New Jeffrey, LA 43753"
1607	Asian	(Decimal('56.1815065'), Decimal('-3.285465'))	F	20 Nov 1987	B-	782-78-9736	Purchasing manager	Monique Alvarez	"3851 Jeffery Run
Daisyborough, IA 90300"
1608	white	(Decimal('-48.809260'), Decimal('110.667722'))	F	04/01/2005, 00:00:00	AB-	230-37-1423	Merchandiser, retail	Emily Ramirez	"Unit 1417 Box 5130
DPO AE 55065"
1609	Asian	(Decimal('63.8944955'), Decimal('154.611560'))	F	1960/05/26	AB+	393-22-1831	Corporate treasurer	Kristen Torres	"7187 Savannah Lakes
Harrisville, LA 53822"
1610	blsck	(Decimal('-35.556774'), Decimal('-119.338575'))	F	1955-05-31	AB-	534-15-9867	Biochemist, clinical	Leslie Webb	"9587 Brandon Rue Apt. 584
West Christine, RI 27960"
1611	White	(Decimal('-8.714313'), Decimal('133.061736'))	M	02/11/1917, 00:00:00	A+	062-63-6625	Biochemist, clinical	Robert Gonzalez	"97523 Banks Pine
West Alan, OH 64014"
1612	Black	(Decimal('27.1262925'), Decimal('67.125400'))	F	08/18/1984, 00:00:00	B+	620-10-7182	Dance movement psychotherapist	Dawn Combs	"Unit 7327 Box 5509
DPO AA 53497"
1613	White	(Decimal('64.246349'), Decimal('-16.173055'))	M	2015/12/28	B-	267-01-2376	Waste management officer	Scott Riley	"91798 Matthews Orchard Apt. 971
North Susanfort, OK 04790"
1614	Asian	(Decimal('-69.6914105'), Decimal('-35.553714'))	F	1931/11/25	B-	233-01-3605	Counsellor	Linda Richards	"700 Ryan Brooks Apt. 576
North Evelynburgh, IL 39818"
1615	White	(Decimal('-54.2820635'), Decimal('-149.407672'))	M	24 Oct 1929	B-	408-83-3410	Building control surveyor	Luis Steele	"8713 Wall Hill
Brandontown, FL 25360"
1616	White	(Decimal('-81.5633405'), Decimal('166.855688'))	M	1984/03/27	B-	426-16-6978	Intelligence analyst	Vincent Martinez	"0813 Erin Ports
Jennifertown, OH 53781"
1617	Asian	(Decimal('-8.0187265'), Decimal('132.671739'))	F	10/29/1998, 00:00:00	O-	160-30-0479	Camera operator	Angela Daniel	"223 Veronica Squares Suite 104
East Nathanmouth, PA 04125"
1618	White	(Decimal('5.181622'), Decimal('-67.421448'))	M	2008/03/27	O+	768-64-9683	Race relations officer	George Shepard	"84911 Serrano Tunnel Apt. 415
New Heatherview, NH 36786"
1619	White	(Decimal('-78.3578885'), Decimal('99.088303'))	M	28 Mar 1952	AB-	679-78-0717	Applications developer	Kevin Drake	"29789 Andres Ridges Apt. 288
Johnport, SC 41614"
1620	White	(Decimal('-86.383771'), Decimal('-73.038992'))	M	1944-11-18	O-	521-83-9092	Psychiatric nurse	Jeffrey Conley	"Unit 7270 Box 2666
DPO AA 25594"
1621	Black	(Decimal('-12.979033'), Decimal('174.889144'))	F	2007-01-24	A+	070-10-1561	Midwife	Chloe Hunt	"0590 Carter Motorway
Stevensborough, ID 14782"
1622	White	(Decimal('-60.598710'), Decimal('-85.343267'))	M	04/27/1940, 00:00:00	O-	731-99-8685	Legal secretary	Christopher Reyes	"25694 Zimmerman Trail Suite 336
Amandabury, CA 78370"
1623	Black	(Decimal('-4.325157'), Decimal('-56.947606'))	M	28 Apr 1910	O+	897-64-8265	Nature conservation officer	Jason Smith	"615 Thomas Lodge Suite 144
Princebury, MA 42362"
1624	White	(Decimal('-67.1325495'), Decimal('144.141001'))	M	1976-08-03	B+	516-02-5228	Tourist information centre manager	Robert Barnes	"9579 Rosario Squares Apt. 884
Bushhaven, AL 08600"
1625	White	(Decimal('63.576323'), Decimal('41.287045'))	F	1942/12/02	O+	105-67-9414	Consulting civil engineer	Shannon Sanchez	"2063 Lee Alley Apt. 514
New Stephanie, MD 81295"
1626	White	(Decimal('-5.1510925'), Decimal('-176.355000'))	F	07/31/1934, 00:00:00	B-	074-24-1657	Housing manager/officer	Julia Flores	"449 Angie Court Apt. 257
Tinachester, CA 10131"
1627	Black	(Decimal('-21.7352365'), Decimal('19.597233'))	M	16 Oct 2010	O-	709-61-3716	Quarry manager	Eric Woodard	"85482 Chavez Land Suite 381
Peggyfurt, KS 51750"
1628	White	(Decimal('-6.1623315'), Decimal('143.147700'))	F	08/02/1989, 00:00:00	O-	158-66-3026	Horticultural therapist	Sarah Green	"620 Jerry Pine Apt. 350
West Robert, AR 86728"
1629	White	(Decimal('-12.596889'), Decimal('172.615745'))	F	20 Nov 1989	O-	631-33-3691	Retail buyer	Tracy Reed	"Unit 7370 Box 1991
DPO AP 07879"
1630	Black	(Decimal('23.8728875'), Decimal('-107.759493'))	M	12/09/1994, 00:00:00	A+	831-64-8207	Chief Strategy Officer	Bobby Luna	"369 Wallace Rue Suite 080
Nortonmouth, ND 67126"
1631	Asian	(Decimal('-5.4762735'), Decimal('-98.399602'))	F	2006-02-08	A+	527-74-6042	Commercial art gallery manager	Stephanie Howard	"958 Kimberly Alley
East Travis, DC 59275"
1632	black	(Decimal('6.441538'), Decimal('97.698763'))	F	05/19/1923, 00:00:00	AB-	256-01-8164	Local government officer	Sheri White	"111 Thompson Ville Apt. 273
Port Jimmy, MT 20856"
1633	Hawaiian	(Decimal('39.047768'), Decimal('71.415628'))	F	1911-02-05	A-	838-91-9020	Engineer, technical sales	Jessica Meyer	"041 Richards Harbor Apt. 170
Whitemouth, SC 02750"
1634	White	(Decimal('30.8003745'), Decimal('-133.671109'))	M	1923/04/22	A+	812-53-0485	Environmental manager	Jesse Price	"712 Harris Trail
Timothyport, NE 52469"
1635	Indian	(Decimal('40.406604'), Decimal('-12.910011'))	F	01 Sep 1961	B+	860-38-9709	Garment/textile technologist	Linda Singleton	"PSC 6665, Box 7935
APO AA 49719"
1636	Black	(Decimal('54.663529'), Decimal('178.915149'))	M	23 Aug 1942	A-	551-16-5595	Civil Service fast streamer	Christopher Sanchez	"56332 Young Ville
East Guytown, WI 89156"
1637	White	(Decimal('-23.420691'), Decimal('112.009168'))	M	08/12/2021, 00:00:00	B-	878-81-4611	Music therapist	Kyle Brown	"USS Wilson
FPO AE 23685"
1638	White	(Decimal('-66.320750'), Decimal('-178.348507'))	F	01/03/1966, 00:00:00	O-	443-67-5470	Pilot, airline	Lauren May	"4426 Fisher Bypass
Williamsshire, DE 95386"
1639	Hawaiian	(Decimal('58.924137'), Decimal('119.556524'))	F	08/04/1931, 00:00:00	AB-	062-54-1357	Camera operator	Catherine Scott	"2558 Morris Tunnel
Travisfort, OR 67379"
1640	White	(Decimal('22.930107'), Decimal('13.749463'))	M	10/05/1978, 00:00:00	B+	363-35-1660	Research scientist (maths)	Justin Hall	"89777 Warren Mission Apt. 864
Samanthashire, RI 99547"
1641	White	(Decimal('-82.685783'), Decimal('25.841523'))	M	1930/09/25	AB+	117-04-4803	Therapist, nutritional	Cody Trevino	"968 Johnston Bridge Suite 067
South Michael, MO 11378"
1642	White	(Decimal('5.3172625'), Decimal('130.120344'))	F	2005-11-20	O+	263-17-3800	Armed forces training and education officer	Madison Hines	"Unit 0310 Box 1176
DPO AA 98502"
1643	White	(Decimal('74.011944'), Decimal('130.202409'))	F	2008/10/11	B-	622-05-5620	Surveyor, commercial/residential	Heather Medina	"544 Roman Roads
Moniqueshire, AL 28283"
1644	Black	(Decimal('-23.140461'), Decimal('-2.341685'))	F	14 Dec 1994	A+	653-74-7534	Administrator, charities/voluntary organisations	Diana Howard	"43643 Mary Cape
Kathrynshire, AR 84508"
1645	White	(Decimal('-63.076459'), Decimal('-41.619910'))	M	1923/11/25	A-	491-04-9570	Psychiatric nurse	Paul Berry	"93766 Davila Squares
West Sheilaview, ME 97524"
1646	Black	(Decimal('39.212413'), Decimal('-95.819169'))	F	1997-09-18	O+	626-43-3839	Engineer, civil (contracting)	Stacey James	"119 Schmidt Trail Suite 632
Lake Deborahburgh, IL 40210"
1647	White	(Decimal('4.0493755'), Decimal('24.765069'))	M	1975-07-05	AB-	288-52-8634	Pharmacologist	Jason Reed	"1660 Richardson Prairie Apt. 427
Meltonmouth, FL 63358"
1648	White	(Decimal('-68.674682'), Decimal('83.894965'))	M	11/04/1947, 00:00:00	O-	668-78-3143	Pensions consultant	Edgar Johnson	"865 Kennedy Shoal Apt. 592
Millstown, AZ 89257"
